ANONYMOUS_ID,USER_ID,TOTAL_PRICE_USD,FINANCIAL_STATUS,CART_TOKEN,PRODUCTS,ORDER_NUMBER,TIMESTAMP
'9b200aa9ec20906ab39ef8b141c7fc99','e135eb9edf563e0fadefbb82cd5047e0','206.54','refunded','9e5282559654f474e4bc2d4480495b1c',"'{""admin_graphql_api_id"": ""69f3dbce2e2e9423d5c818e08a2b8823"", ""brand"": ""be0b5e909577e2a8dd034e0c980f0685"", ""discount_allocations"": ""f56c795266a544db05d683f1deb33730"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""bae09a9892208e66c681a45ff3d0c627"", ""id"": ""780f3ad0526b3614b3ae77ab1d879527"", ""fulfillment_status"": null, ""gift_card"": ""7b3fdc8e6889148bbc0ce5cddfc8c084"", ""grams"": 0, ""price"": ""40.00""}]'",'','2023-07-06T21:45:14.49Z'
'8f00f24f785caddcaca0087294e02cd0','46bd1c7d3ddaa8ae4f73a83914d555d0','206.54','refunded','ab9c8f1ac7217ab3ced2356a240a75e1',"'{""admin_graphql_api_id"": ""23ea280ffc198094c50788b484649c64"", ""brand"": ""be0b5e909577e2a8dd034e0c980f0685"", ""discount_allocations"": ""f56c795266a544db05d683f1deb33730"", ""duties"": [], ""fulfillable_quantity"": 0, ""fulfillment_service"": ""bae09a9892208e66c681a45ff3d0c627"", ""id"": ""9df52d7d0cb35512c19fdf2b5104527b"", ""fulfillment_status"": ""df8a2cc9a7db9d002c7499a3e9078ea0"", ""gift_card"": ""7b3fdc8e6889148bbc0ce5cddfc8c084"", ""grams"": 0, ""price"": ""40.00""}]'",'','2023-07-19T14:30:48.479Z'
'95ccf68348884b22651d78ad7381935a','3db3487f88e5802bb4ab6404b23ec913','199','refunded','',"'{""admin_graphql_api_id"": ""70adf2efbcb1647d207a211bf23afa55"", ""brand"": ""be0b5e909577e2a8dd034e0c980f0685"", ""discount_allocations"": ""f56c795266a544db05d683f1deb33730"", ""duties"": [], ""fulfillable_quantity"": 0, ""fulfillment_service"": ""bae09a9892208e66c681a45ff3d0c627"", ""id"": ""059dd0645d6a221ba7036baa8cdb3f84"", ""fulfillment_status"": ""df8a2cc9a7db9d002c7499a3e9078ea0"", ""gift_card"": ""7b3fdc8e6889148bbc0ce5cddfc8c084"", ""grams"": 0, ""price"": ""40.00"", ""product_exists"": ""38ae620fd813dee69f2d83fbe5d1488d"", ""product_id"": ""20165137b909a16b895b2e588ba422a9"", ""properties"": ""f56c795266a544db05d683f1deb33730"", ""quantity"": 1, ""sku"": ""7f54ac9a6491aad475477e153c799431"", ""taxable"": ""38ae620fd813dee69f2d83fbe5d1488d"", ""title"": ""6ac927b63d636dfa37ceb0554fc99234"", ""total_discount"": ""0.00"", ""variant"": ""62a64288e28ca53d155b0dbd1f587076""}]'",'','2023-06-02T18:44:14.829Z'
'061e1d1cbc0fa81d14316132fff77a9d','aa4411ebef0499f8e22a0cb8da887c11','0','paid','',"'{""admin_graphql_api_id"": ""8f8fee8c0cdf9327914daf202a586b1b"", ""brand"": ""be0b5e909577e2a8dd034e0c980f0685"", ""discount_allocations"": ""99abb90efbeb3a58c728dc3c9379f28b"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""bae09a9892208e66c681a45ff3d0c627"", ""id"": ""2a6341a0c858f276a294dc8b727e2c1e"", ""fulfillment_status"": null, ""gift_card"": ""7b3fdc8e6889148bbc0ce5cddfc8c084"", ""grams"": 408, ""price"": ""199.00"", ""product_exists"": ""38ae620fd813dee69f2d83fbe5d1488d"", ""product_id"": ""65f9d856e20d61dacace8c5554d8237f"", ""properties"": ""f56c795266a544db05d683f1deb33730"", ""quantity"": 1, ""sku"": ""f87d0eb2e7f52c1232d94cf36a47a78a"", ""taxable"": ""7b3fdc8e6889148bbc0ce5cddfc8c084"", ""title"": ""08b87c20836982eb1a61dacc1c4569ce"", ""total_discount"": ""0.00"", ""variant"": ""dceaf725360098701d3b55954b2be9e8""}]'",'','2023-07-07T16:08:19.062Z'
'245576e6dc93e58af7f0a9e651522061','409a913bcb9a6e6e9b94cdb2c731b5c3','207.05','refunded','13e04c74778ed73f25ddc533072d8bff',"'{""admin_graphql_api_id"": ""04612fc3f2a398bd750c8e4662122c56"", ""brand"": ""be0b5e909577e2a8dd034e0c980f0685"", ""discount_allocations"": ""f15e5f201d70cd82b122fd3ed3d36684"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""bae09a9892208e66c681a45ff3d0c627"", ""id"": ""e516db7eec811595a3c948b761c5473e"", ""fulfillment_status"": null, ""gift_card"": ""7b3fdc8e6889148bbc0ce5cddfc8c084"", ""grams"": 318, ""price"": ""299.00"", ""product_exists"": ""38ae620fd813dee69f2d83fbe5d1488d"", ""product_id"": ""036613769b4593e3d9b79c6dd24bfa94"", ""properties"": ""f56c795266a544db05d683f1deb33730"", ""quantity"": 1, ""sku"": ""32496c0c77a549037b9c489cb714d1c0"", ""taxable"": ""7b3fdc8e6889148bbc0ce5cddfc8c084"", ""title"": ""1b2f2689052c3f4b5b00d5d2bc5216d4"", ""total_discount"": ""0.00"", ""variant"": ""6502242ff0822586344fb52b207f92bf""}]'",'','2023-05-31T19:11:58.439Z'
'41e6f5f5d9d2077f2350aeaa1df8c274','09416ea7c10cf24e84355282b97cbdae','7.54','refunded','342b1fc4410c84cb7bac595564f71a57',"'{""admin_graphql_api_id"": ""fc030ae5249132cf356037b8dde708c8"", ""brand"": ""be0b5e909577e2a8dd034e0c980f0685"", ""discount_allocations"": ""f56c795266a544db05d683f1deb33730"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""bae09a9892208e66c681a45ff3d0c627"", ""id"": ""5934f9e4be7a862cde888f177d238aaa"", ""fulfillment_status"": null, ""gift_card"": ""7b3fdc8e6889148bbc0ce5cddfc8c084"", ""grams"": 510, ""price"": ""199.00""}]'",'','2023-06-10T18:33:41.667Z'
'420194552828bbfdc182158e8b774222','09416ea7c10cf24e84355282b97cbdae','206.54','refunded','8f92d2bdf420eabc9c2b8c2a8afaf687',"'{""admin_graphql_api_id"": ""e30a97b5bd85fbe219f5999b66ca1767"", ""brand"": ""be0b5e909577e2a8dd034e0c980f0685"", ""discount_allocations"": ""b51aec589fdbe60d9f5c702fe7d5fe65"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""bae09a9892208e66c681a45ff3d0c627"", ""id"": ""1733c181806036116dd823845af61ab4"", ""fulfillment_status"": null, ""gift_card"": ""7b3fdc8e6889148bbc0ce5cddfc8c084"", ""grams"": 510, ""price"": ""199.00"", ""product_exists"": ""38ae620fd813dee69f2d83fbe5d1488d"", ""product_id"": ""65f9d856e20d61dacace8c5554d8237f"", ""properties"": ""f56c795266a544db05d683f1deb33730"", ""quantity"": 1, ""sku"": ""f87d0eb2e7f52c1232d94cf36a47a78a"", ""taxable"": ""7b3fdc8e6889148bbc0ce5cddfc8c084"", ""title"": ""08b87c20836982eb1a61dacc1c4569ce"", ""total_discount"": ""0.00"", ""variant"": ""dceaf725360098701d3b55954b2be9e8""}]'",'','2023-07-06T21:45:49.076Z'
'aa3b9df802ac0d50326d811d3606fede','63bf2a40508fb3791cc59af07308cb0d','0','paid','e8d811a1fead5a14ca29181f832c1abc',"'{""admin_graphql_api_id"": ""4ed68447228d197c6b206e404bc255f1"", ""brand"": ""be0b5e909577e2a8dd034e0c980f0685"", ""discount_allocations"": ""99abb90efbeb3a58c728dc3c9379f28b"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""bae09a9892208e66c681a45ff3d0c627"", ""id"": ""2962536c06b7ec648d4ac1627d7a6f29"", ""fulfillment_status"": null, ""gift_card"": ""7b3fdc8e6889148bbc0ce5cddfc8c084"", ""grams"": 318, ""price"": ""299.00"", ""product_exists"": ""38ae620fd813dee69f2d83fbe5d1488d"", ""product_id"": ""036613769b4593e3d9b79c6dd24bfa94"", ""properties"": ""f56c795266a544db05d683f1deb33730"", ""quantity"": 1, ""sku"": ""32496c0c77a549037b9c489cb714d1c0"", ""taxable"": ""7b3fdc8e6889148bbc0ce5cddfc8c084"", ""title"": ""1b2f2689052c3f4b5b00d5d2bc5216d4"", ""total_discount"": ""0.00"", ""variant"": ""6502242ff0822586344fb52b207f92bf""}]'",'','2023-08-04T15:52:27.851Z'
